implementation,function,total,branch,compare,memory,arithmetic,control
defensive_c,file_handle_get_data,7,1,1,2,1,2
minimal_c,file_handle_get_data,2,0,0,1,0,1
rust,file_handle_get_data,2,0,0,1,0,1
defensive_c,file_handle_open,9,1,0,2,4,2
minimal_c,file_handle_open,2,0,0,0,1,1
rust,file_handle_open,2,0,0,0,1,1
defensive_c,file_handle_read,11,1,1,3,4,2
minimal_c,file_handle_read,4,0,0,1,2,1
rust,file_handle_read,2,0,0,0,1,1
defensive_c,file_handle_close,8,1,0,2,3,2
minimal_c,file_handle_close,3,0,0,1,1,1
